Gene	Immune Population	Group
COL9A3	B NSM	Collagens|Collagen proteoglycans
FCRL2	B NSM	CD molecules|Immunoglobulin like domain containing
FAM177B	B Naive	?
GLYATL1B	B Naive	?
ZNF860	B Naive+Memory	Zinc fingers C2H2-type
PLEKHG7	B SM	Pleckstrin homology domain containing|Dbl family Rho GEFs
CFH	MAIT	Sushi domain containing|Complement system regulators and receptors
KLRF1	NK	Killer cell lectin like receptors|C-type lectin domain containing
LGALS9B	NK	Galectins
LGALS9C	NK	Galectins
SIGLEC7	NK	CD molecules|V-set domain containing|Sialic acid binding Ig like lectins
SPTSSB	NK	?
ZMAT4	NK	Zinc fingers matrin-type
DSC1	T CD8 Naive	Desmosomal cadherins
ZNF683	T CD8 TE	Zinc fingers C2H2-type
TRABD2A	T Naive	?
FAAH2	Tfh+Th	?
